loss,val_loss,acc,val_acc
0.6024729334069248,0.5126326392289984,0.6779589296826385,0.7678640400548384
0.5408230566904273,0.48922078675770675,0.7307716241473357,0.7748165313642243
0.5057090713314634,0.5119772826487975,0.7541194772883536,0.7562765547463958
0.469907836108454,0.4525321989088917,0.7760547604201815,0.7891077635001842
0.4307623757385807,0.4579447955929114,0.7970130678252841,0.7918115102356122
0.391291484570162,0.4780679571900233,0.8167517112676743,0.787562765799788
0.357204153039994,0.5163735664457186,0.8347790914792487,0.7744302816398358
0.3253896220448452,0.5116035621246346,0.8534287492206695,0.7748165316174692
0.3007464965259947,0.5492620496802368,0.8657062850016277,0.7724990342610957
0.2791574438154586,0.5608099549836106,0.8775482265075394,0.7678640398476381
