loss,val_loss,acc,val_acc
0.6453682059358667,0.6001984344588386,0.6365555555555555,0.6925555555555556
0.5987455517627575,0.5643203774028355,0.6913703703703704,0.7160555555555556
0.5791916241822419,0.5815508409076267,0.7089999999823393,0.6887222222222222
0.5607654319869148,0.5425747390853034,0.7237407407407408,0.7309444444444444
0.5428240784715723,0.5294262874126434,0.7338888888712283,0.7443333333333333
0.5264943479432,0.5371620967917972,0.7433703703703703,0.7387777777777778
0.5131027073506955,0.521761588467492,0.7520370370546977,0.7444444444444445
0.5032843665193628,0.5168357731236352,0.7589259259259259,0.745
0.4899720497837773,0.5313972749445174,0.7678148147971542,0.742
0.47959883294282135,0.5298369462754992,0.771370370388031,0.7367777777777778
0.47040943634951554,0.5243786655531989,0.7744444444444445,0.7518333333333334
0.4561299253922922,0.5288523944218954,0.7878888889065495,0.7435
0.4449236841908208,0.5478166071573893,0.7906666666666666,0.7438888888888889
0.43306226754188537,0.5385583000712925,0.7978148148148149,0.7522222222222222
0.42324725321487144,0.5539093723826938,0.8039259259435866,0.7504444444444445
0.4159937507576413,0.5889387721750471,0.8101111111111111,0.7426111111111111
0.4054909102121989,0.5758945060041216,0.8121481481658088,0.7481111111111111
0.3979248228867849,0.5597126736111111,0.817296296313957,0.7495
0.384108897500568,0.564619093603558,0.8240740740564134,0.7388333333333333
0.3716129552170082,0.6369520681699117,0.8312592592769199,0.7405
0.36831800279793914,0.6676947096718682,0.8337777777601172,0.7404444444444445
0.35499327435316863,0.6146019579304589,0.8386296296472903,0.7406666666666667
0.34961592231856453,0.6445529318650564,0.8415925925925926,0.7440555555555556
0.34484230110380387,0.6439159410529667,0.8450740740564134,0.7408333333333333
0.33495576119422915,0.6783159594800737,0.8485925925925926,0.7375555555555555
0.32668126726150515,0.6547573273446825,0.8538148147971542,0.7367777777777778
0.32531917394532095,0.6619988378418816,0.8542962962786357,0.7345555555555555
0.317003307890009,0.6671373133659363,0.855629629611969,0.7364444444444445
0.3145159936922568,0.733627476586236,0.8593703703527097,0.7442777777777778
0.30282456075703656,0.7661753000153435,0.8647407407584013,0.7431666666666666
